publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2023p222397,earthquake,2023-03-24T06:53:19.699Z,2023-03-24T10:34:32.026Z,176.6751862,-38.09492111,2.698248769,4.406234264,MLv,,LOCSAT,confirmed,manual,iasp91,40,33,37,0.02921978384,45.04578781,0.3553109102,0.2603188337
2023p222333,earthquake,2023-03-24T06:19:29.961Z,2023-03-24T06:29:41.341Z,176.6889343,-38.10570908,1.864380222,3.814425468,MLv,,LOCSAT,confirmed,manual,iasp91,31,20,7,0.02736610174,44.92529297,0.3343497724,0.2094801714
2023p222326,earthquake,2023-03-24T06:15:23.050Z,2023-03-24T06:27:25.189Z,176.6834412,-38.10780334,1.510074766,3.739616156,MLv,,LOCSAT,confirmed,manual,iasp91,21,14,6,0.0316847004,45.09625244,0.2872419786,0.2428595889
2023p221618,earthquake,2023-03-23T23:58:31.673Z,2023-03-24T00:13:27.814Z,176.746933,-37.99502563,2.095304353,5.129122734,MLv,,LOCSAT,confirmed,manual,iasp91,16,12,13,0.05795838311,112.4488907,0.5146497199,0.141191853
2023p221551,earthquake,2023-03-23T23:22:31.496Z,2023-03-24T00:41:43.243Z,176.6671448,-38.10956192,2.17748398,4.591040611,MLv,,LOCSAT,confirmed,manual,iasp91,19,17,14,0.04221237078,61.2912941,0.216254304,0.2161432629
2023p220772,earthquake,2023-03-23T16:27:27.610Z,2023-03-23T16:31:57.324Z,176.6895294,-38.09098053,1.706134852,6.422953606,MLv,,LOCSAT,confirmed,manual,iasp91,16,11,5,0.1065283567,116.7493362,0.3176977521,0.4112030916
2023p220763,earthquake,2023-03-23T16:22:47.314Z,2023-03-23T16:25:50.543Z,176.7688141,-38.01815414,1.583083027,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,15,11,6,0.08141689003,130.3847733,0.1932152251,0.1898552827
2023p220755,earthquake,2023-03-23T16:18:27.679Z,2023-03-23T16:22:14.429Z,176.6706085,-38.10435486,1.619354578,3.651363373,MLv,,LOCSAT,confirmed,manual,iasp91,17,13,7,0.03693682328,54.17644751,0.3306536963,0.3086016267
2023p220741,earthquake,2023-03-23T16:11:16.973Z,2023-03-23T16:19:41.647Z,176.7608185,-38.02614594,1.537918412,4.488955498,MLv,,LOCSAT,confirmed,manual,iasp91,16,11,5,0.07025105506,127.4194183,0.230488462,0.2238717179
2023p220733,earthquake,2023-03-23T16:06:55.568Z,2023-03-23T16:10:44.077Z,176.7646484,-38.02302551,1.679095637,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,18,14,5,0.07454513758,128.6654434,0.3839912016,0.2589632989
2023p220703,earthquake,2023-03-23T15:50:35.480Z,2023-03-23T15:54:50.861Z,176.7605438,-38.02529526,1.504479045,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,16,10,5,0.07888773829,127.5832748,0.3513961907,0.2093168504
2023p220494,earthquake,2023-03-23T13:59:32.640Z,2023-03-23T14:05:39.334Z,176.756012,-38.02989578,1.801183277,4.791832447,MLv,,LOCSAT,confirmed,manual,iasp91,20,13,7,0.07836847752,112.4073639,0.2096651683,0.2212576552
2023p220470,earthquake,2023-03-23T13:46:39.126Z,2023-03-23T13:50:47.582Z,176.6988525,-38.08259964,1.822789775,3.752511263,MLv,,LOCSAT,confirmed,manual,iasp91,14,11,6,0.008286651224,107.4105453,0.1820527444,0.2184411358
2023p220240,earthquake,2023-03-23T11:44:24.322Z,2023-03-23T11:50:00.867Z,176.690094,-38.09740829,1.850571894,5.430867672,MLv,,LOCSAT,confirmed,manual,iasp91,21,15,7,0.1129560471,86.87289429,0.2421895004,0.2645899195
2023p220197,earthquake,2023-03-23T11:21:29.261Z,2023-03-23T11:30:54.396Z,176.6713867,-38.10336685,1.990598755,3.186733007,MLv,,LOCSAT,confirmed,manual,iasp91,38,28,13,0.03587710485,42.94364846,0.6365600228,0.2959999945
2023p220150,earthquake,2023-03-23T10:56:19.073Z,2023-03-23T11:46:40.656Z,176.7580109,-38.03643036,1.607743046,4.815329552,MLv,,LOCSAT,confirmed,manual,iasp91,14,10,5,0.06073597074,124.6795883,0.2988435806,0.2347123502
2023p219814,earthquake,2023-03-23T07:56:59.131Z,2023-03-23T08:48:09.539Z,176.6421051,-38.1078949,2.110623353,3.260928154,MLv,,LOCSAT,confirmed,manual,iasp91,45,30,18,0.05832889304,34.49128532,0.2844827228,0.2158164356
2023p219656,earthquake,2023-03-23T06:32:57.282Z,2023-03-23T06:37:52.651Z,176.6923828,-38.09703445,1.965037976,4.054649353,MLv,,LOCSAT,confirmed,manual,iasp91,20,15,7,0.0189773161,71.61091995,0.2841375048,0.3624797096
2023p219459,earthquake,2023-03-23T04:47:58.099Z,2023-03-25T04:06:01.228Z,176.665802,-38.09570694,1.720197084,3.723806381,M,,LOCSAT,confirmed,manual,iasp91,17,14,6,0.03640887141,73.40081787,0.227789579,0
2023p219051,earthquake,2023-03-23T01:10:51.849Z,2023-03-23T07:21:35.377Z,176.6518097,-38.0974884,1.746370698,3.956925631,MLv,,LOCSAT,confirmed,manual,iasp91,23,18,7,0.04745115712,73.93423462,0.2415756657,0.2473480619
2023p219010,earthquake,2023-03-23T00:48:57.392Z,2023-03-23T08:17:32.244Z,176.7112122,-38.07409668,1.508313642,5.393967628,MLv,,LOCSAT,confirmed,manual,iasp91,13,9,4,0.009524786845,100.1417618,0.3513460366,0.3569373577
2023p218706,earthquake,2023-03-22T22:07:02.878Z,2023-03-23T07:29:41.402Z,176.6736298,-38.10748291,2.175009876,3.608509302,MLv,,LOCSAT,confirmed,manual,iasp91,27,23,13,0.03693480045,49.23477685,0.2277681859,0.327222834
2023p218666,earthquake,2023-03-22T21:45:37.537Z,2023-03-23T00:50:11.365Z,176.7650146,-38.05799484,1.753436485,4.296443462,MLv,,LOCSAT,confirmed,manual,iasp91,17,11,6,0.05252471566,120.9135818,0.3201705755,0.2621414513
2023p218588,earthquake,2023-03-22T21:04:08.499Z,2023-03-23T00:55:15.120Z,176.7527924,-38.01699066,1.920680813,3.525135279,MLv,,LOCSAT,confirmed,manual,iasp91,21,16,8,0.06950617582,89.82160568,0.3532651859,0.2319487162
2023p218499,earthquake,2023-03-22T20:16:18.121Z,2023-03-22T20:27:50.286Z,176.759613,-38.05911636,2.001337171,3.884185076,M,,LOCSAT,confirmed,manual,iasp91,17,13,7,0.04659252614,79.35240173,0.3084128589,0
2023p218491,earthquake,2023-03-22T20:12:48.843Z,2023-03-23T00:46:45.459Z,176.7555389,-38.06631088,1.937981178,3.423505306,MLv,,LOCSAT,confirmed,manual,iasp91,21,16,6,0.04033993557,75.20739365,0.301389428,0.2300579826
2023p218389,earthquake,2023-03-22T19:18:07.407Z,2023-03-22T19:38:48.098Z,176.758316,-38.06518173,2.593525298,4.307469845,M,,LOCSAT,confirmed,manual,iasp91,25,20,21,0.04280340299,58.348526,0.2288674079,0
2023p218151,earthquake,2023-03-22T17:11:14.172Z,2023-03-22T17:45:27.750Z,176.6750793,-38.09024048,1.446457739,6.016504765,M,,LOCSAT,confirmed,manual,iasp91,16,11,4,0.1051442623,110.3426666,0.4263585026,0
2023p217999,earthquake,2023-03-22T15:50:16.787Z,2023-03-22T17:00:59.923Z,176.6624908,-38.09846115,1.636733442,6.295855522,MLv,,LOCSAT,confirmed,manual,iasp91,19,13,6,0.03982692957,63.14692402,0.2761182294,0.2463122384
2023p217990,earthquake,2023-03-22T15:45:30.443Z,2023-03-22T15:52:10.484Z,176.651123,-38.10346222,1.791260011,4.566583157,MLv,,LOCSAT,confirmed,manual,iasp91,34,21,10,0.0500285551,57.61500645,0.4278801567,0.2957547241
2023p217976,earthquake,2023-03-22T15:37:51.979Z,2023-03-22T16:54:15.494Z,176.6613617,-38.11411285,1.791087933,4.908034325,MLv,,LOCSAT,confirmed,manual,iasp91,21,14,7,0.1294065118,75.13838816,0.2644793835,0.2420748839
